"","from","to","arrows"
"1",1,43,"to"
"2",2,93,"to"
"3",3,102,"to"
"4",4,9,"to"
"5",5,53,"to"
"6",6,8,"to"
"7",7,101,"to"
"8",8,6,"to"
"9",9,91,"to"
"10",10,82,"to"
"11",11,72,"to"
"12",12,87,"to"
"13",13,63,"to"
"14",14,26,"to"
"15",15,60,"to"
"16",16,56,"to"
"17",17,30,"to"
"18",18,26,"to"
"19",19,28,"to"
"20",20,87,"to"
"21",21,95,"to"
"22",22,55,"to"
"23",23,45,"to"
"24",24,17,"to"
"25",25,94,"to"
"26",26,14,"to"
"27",27,101,"to"
"28",28,19,"to"
"29",29,36,"to"
"30",30,17,"to"
"31",31,81,"to"
"32",32,97,"to"
"33",33,73,"to"
"34",34,82,"to"
"35",35,103,"to"
"36",36,29,"to"
"37",37,29,"to"
"38",38,101,"to"
"39",39,33,"to"
"40",40,67,"to"
"41",41,6,"to"
"42",42,64,"to"
"43",43,1,"to"
"44",44,28,"to"
"45",45,15,"to"
"46",46,52,"to"
"47",47,95,"to"
"48",48,46,"to"
"49",49,31,"to"
"50",50,103,"to"
"51",51,59,"to"
"52",52,46,"to"
"53",53,5,"to"
"54",54,103,"to"
"55",55,22,"to"
"56",56,16,"to"
"57",57,63,"to"
"58",58,23,"to"
"59",59,58,"to"
"60",60,15,"to"
"61",61,101,"to"
"62",62,83,"to"
"63",63,57,"to"
"64",64,42,"to"
"65",65,74,"to"
"66",66,47,"to"
"67",67,40,"to"
"68",68,48,"to"
"69",69,104,"to"
"70",70,75,"to"
"71",71,101,"to"
"72",72,96,"to"
"73",73,86,"to"
"74",74,88,"to"
"75",75,70,"to"
"76",76,92,"to"
"77",77,104,"to"
"78",78,84,"to"
"79",79,4,"to"
"80",80,103,"to"
"81",81,31,"to"
"82",82,34,"to"
"83",83,62,"to"
"84",84,78,"to"
"85",85,101,"to"
"86",86,73,"to"
"87",87,12,"to"
"88",88,74,"to"
"89",89,101,"to"
"90",90,103,"to"
"91",91,9,"to"
"92",92,76,"to"
"93",93,2,"to"
"94",94,55,"to"
"95",95,21,"to"
"96",96,72,"to"
"97",97,32,"to"
"98",98,101,"to"
"99",99,67,"to"
"100",100,103,"to"
"101",101,98,"to"
"102",102,70,"to"
"103",103,100,"to"
"104",104,77,"to"
"105",105,30,"to"
