"","id","label"
"1",1,"aawiki"
"2",2,"aawikibooks"
"3",3,"abwiki"
"4",4,"acewiki"
"5",5,"adywiki"
"6",6,"afwiki"
"7",7,"afwikibooks"
"8",8,"afwikiquote"
"9",9,"afwiktionary"
"10",10,"akwiki"
"11",11,"akwikibooks"
"12",12,"alswiki"
"13",13,"alswikibooks"
"14",14,"alswikiquote"
"15",15,"amwiki"
"16",16,"amwikiquote"
"17",17,"amwiktionary"
"18",18,"angwiki"
"19",19,"angwikibooks"
"20",20,"angwikiquote"
"21",21,"angwikisource"
"22",22,"angwiktionary"
"23",23,"anwiki"
"24",24,"anwiktionary"
"25",25,"arcwiki"
"26",26,"arwiki"
"27",27,"arwikibooks"
"28",28,"arwikinews"
"29",29,"arwikiquote"
"30",30,"arwikisource"
"31",31,"arwiktionary"
"32",32,"arzwiki"
"33",33,"astwiki"
"34",34,"astwikibooks"
"35",35,"astwikiquote"
"36",36,"astwiktionary"
"37",37,"aswiki"
"38",38,"aswikibooks"
"39",39,"aswikisource"
"40",40,"aswiktionary"
"41",41,"atjwiki"
"42",42,"avwiki"
"43",43,"aywiki"
"44",44,"aywikibooks"
"45",45,"aywiktionary"
"46",46,"azbwiki"
"47",47,"azwiki"
"48",48,"azwikibooks"
"49",49,"azwikiquote"
"50",50,"azwikisource"
"51",51,"azwiktionary"
"52",52,"barwiki"
"53",53,"bat_smgwiki"
"54",54,"bawiki"
"55",55,"bawikibooks"
"56",56,"bclwiki"
"57",57,"be_x_oldwiki"
"58",58,"bewiki"
"59",59,"bewikibooks"
"60",60,"bewikiquote"
"61",61,"bewikisource"
"62",62,"bewiktionary"
"63",63,"bgwiki"
"64",64,"bgwikibooks"
"65",65,"bgwikinews"
"66",66,"bgwikiquote"
"67",67,"bgwikisource"
"68",68,"bgwiktionary"
"69",69,"bhwiki"
"70",70,"bhwiktionary"
"71",71,"biwiki"
"72",72,"biwikibooks"
"73",73,"bjnwiki"
"74",74,"bmwiki"
"75",75,"bmwikibooks"
"76",76,"bmwikiquote"
