"","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","topic10","project","projecttype"
"abwiki",0.000821077509614913,0.00117771120649465,0.000582392202357076,1.75139134830152e-05,1.97938675087028e-05,2.57477208013287e-05,1.02246103842926e-05,0.997181512785503,0.000163751410969741,2.74772883595144e-07,"abwiki","Wikipedia"
"acewiki",0.778127262537163,0.058297289538029,0.0780991531030915,0.000330216405563882,0.00731870333362345,0.0733976546236448,0.0041208653209496,4.20687493546512e-05,0.000266283204360406,5.03184219355773e-07,"acewiki","Wikipedia"
"adywiki",0.531179163547165,0.233372170408207,0.20364736245981,0.000290741660190646,0.0301244497020747,0.000166082079014612,0.000611239578722168,0.00015362239715564,0.000450671872577298,4.49629508320674e-06,"adywiki","Wikipedia"
"afwiki",0.830661289282106,0.00404845948241779,0.014356967182907,0.0537089821350652,0.00389592295237037,0.087324202250548,0.00542068900491375,5.21870256841679e-05,0.000531150450295545,1.50233692397651e-07,"afwiki","Wikipedia"
"akwiki",0.550301233501884,0.350426542826826,0.0884205875044031,0.000453167994720835,0.00323848228389216,0.00289424906636112,0.00103644670783707,0.000489444766767929,0.00272756456978172,1.22807775263109e-05,"akwiki","Wikipedia"
"alswiki",0.836454881502584,0.0300968624398005,0.0576563523483153,0.0597732779261299,0.00619730355694905,0.000123450531655961,9.98266988572702e-05,4.32155188986093e-05,0.00955447546570036,3.54011109558975e-07,"alswiki","Wikipedia"
"amwiki",0.902098080684741,0.0397894523125648,0.050769284726981,0.00172594604360763,0.00388278864511624,0.00134817985279198,9.1796210425902e-05,2.55347002617324e-05,0.000268602528914478,3.34294595211508e-07,"amwiki","Wikipedia"
"angwiki",0.838249600829215,0.077334287420027,0.0772990494196766,0.000351957058737234,0.00584066837997694,9.30583366308333e-05,0.000161357850169127,5.30484362355648e-05,0.000616413631226026,5.5863810517322e-07,"angwiki","Wikipedia"
"anwiki",0.736597376921032,0.00606538167573459,0.0267387845137308,0.228318971743287,0.00193666188000168,5.73502157666686e-05,8.91813186313685e-05,1.72753295579587e-05,0.000178813751877337,2.0265037989955e-07,"anwiki","Wikipedia"
"arcwiki",0.703924975851949,0.152813027459572,0.105902114049518,0.00903073521820501,0.0253972797057762,0.00026840686970121,0.000385739538911861,0.000119322838546351,0.00215728449653967,1.11397128107204e-06,"arcwiki","Wikipedia"
"arwiki",1.51346548296544e-06,7.64896699421437e-05,0.00760375624073482,3.06924242346051e-05,0.990311255142642,1.19255679146332e-06,0.00196992475641781,5.41340204882487e-07,4.63385994240099e-06,5.43607082028488e-10,"arwiki","Wikipedia"
"arwikibooks",0.59788561803575,0.0164056658924367,0.245814408659468,0.00334752309028875,0.129303763463302,3.1479157165647e-05,0.00185734299022607,0.00140156315444317,0.00390290145461298,4.97341023065024e-05,"arwikibooks","Wikibooks"
"arwikinews",0.232472523801685,0.351302672803283,0.342491871781145,0.0128369271468854,0.0556111620870309,0.000408140835269964,0.00272030940345974,0.00032171351221826,0.00182723139503533,7.44723398635973e-06,"arwikinews","Wikinews"
"arwikiquote",0.156549876511651,0.0210731146840582,0.574880551701861,0.00546171629516717,0.218997266227823,8.28599597272075e-05,0.00060335323723934,0.002231677283086,0.0200553768131624,6.42072862244692e-05,"arwikiquote","Wikiquote"
"arwikisource",0.46899430572713,0.00482670003969438,0.237931955346351,0.0324427562696192,0.252507561148403,6.29260327290484e-05,0.000328545493637845,0.0017548031614998,0.000980998588078149,0.000169448192857007,"arwikisource","Wikisource"
"arzwiki",0.860691216147659,0.0501623372066617,0.0690980596767254,0.00268650327838683,0.00585255439230911,6.72186239737263e-05,0.000123780152278355,5.00439653965552e-05,0.0112678706948618,4.15861747800003e-07,"arzwiki","Wikipedia"
