"","from","to","arrows"
"1",1,49,"to"
"2",2,53,"to"
"3",3,40,"to"
"4",4,17,"to"
"5",5,50,"to"
"6",6,16,"to"
"7",7,24,"to"
"8",8,51,"to"
"9",9,49,"to"
"10",10,45,"to"
"11",11,30,"to"
"12",12,20,"to"
"13",13,29,"to"
"14",14,43,"to"
"15",15,29,"to"
"16",16,6,"to"
"17",17,56,"to"
"18",18,57,"to"
"19",19,57,"to"
"20",20,6,"to"
"21",21,33,"to"
"22",22,29,"to"
"23",23,57,"to"
"24",24,7,"to"
"25",25,55,"to"
"26",26,38,"to"
"27",27,28,"to"
"28",28,14,"to"
"29",29,15,"to"
"30",30,59,"to"
"31",31,46,"to"
"32",32,57,"to"
"33",33,21,"to"
"34",34,48,"to"
"35",35,48,"to"
"36",36,48,"to"
"37",37,47,"to"
"38",38,26,"to"
"39",39,37,"to"
"40",40,13,"to"
"41",41,53,"to"
"42",42,50,"to"
"43",43,14,"to"
"44",44,6,"to"
"45",45,10,"to"
"46",46,31,"to"
"47",47,37,"to"
"48",48,36,"to"
"49",49,1,"to"
"50",50,42,"to"
"51",51,8,"to"
"52",52,53,"to"
"53",53,2,"to"
"54",54,12,"to"
"55",55,25,"to"
"56",56,17,"to"
"57",57,23,"to"
"58",58,9,"to"
"59",59,30,"to"
